"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"LG-rosco_m68k_logo_rotated";1;"LG-rosco_m68k_logo_rotated";;;
2;"J20";"Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical";1;"Conn_02x12_Top_Bottom";;;
3;"C30,C32,C12,C59,C58,C57,C56,C63,C62,C61,C60,C55,C54,C53,C50,C49,C48,C47,C46,C45,C71,C67,C65,C17,C15,C64,C21,C13,C43,C41,C39,C37,C36,C35,C34,C33,C31,C29,C28,C27,C26,C25,C24,C23,C22,C19,C18,C16,C14,C9,C8,C7,C6,C5,C4,C3,C2,C1";"C_Rect_L4.0mm_W2.5mm_P2.50mm";58;"100nF";;;
4;"IC14,IC10,IC7,IC6,IC5,IC4,IC3,IC2";"DIP-24_W7.62mm_Socket_LongPads";8;"ATF22V10C";;;
5;"C77,C70";"CP_Radial_D5.0mm_P2.50mm";2;"220uF";;;
6;"C76,C75,C69,C68";"CP_Radial_D8.0mm_P3.50mm";4;"470uF";;;
7;"C74,C73,C72,C51,C44,C42,C40,C38";"CP_Radial_D5.0mm_P2.50mm";8;"100uF";;;
8;"J24";"PinHeader_2x01_P2.54mm_Vertical";1;"I2C";;;
9;"IC30";"SO-20_12.8x7.5mm_P1.27mm";1;"PCF8584";;;
10;"J23";"PinHeader_2x01_P2.54mm_Vertical";1;"RESET_SW";;;
11;"J21";"PinHeader_2x01_P2.54mm_Vertical";1;"PWR_SW";;;
12;"IC29";"TO-220-3_Vertical";1;"LD1117S12TR_SOT223";;;
13;"C66";"CP_Radial_D5.0mm_P2.50mm";1;"10uF";;;
14;"H9,H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_3mm_Pad";9;"MountingHole_Pad";;;
15;"J19";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
16;"J18";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Male";;;
17;"R73,R72,R71,R70,R69,R68,R67,R66,R65,R64,R63,R62,R61,R60,R59,R58,R57,R56,R55,R54,R53,R52,R51,R50,R49,R48,R47,R46,R45,R44,R43,R42,R41,R40,R39,R38,R37,R36,R35,R34";"R-0207_10";40;"R";;;
18;"IC27,IC26,IC25,IC24,IC23,IC22,IC21,IC20,IC19,IC18,IC17";"DIP-20_W7.62mm_Socket_LongPads";11;"74HCT245";;;
19;"JP2,JP1,JP4,JP3,JP17,JP16,JP15";"PinHeader_1x02_P2.54mm_Vertical";7;"Jumper";;;
20;"JP14";"PinHeader_1x02_P2.54mm_Vertical";1;"6WS";;;
21;"JP13";"PinHeader_1x02_P2.54mm_Vertical";1;"5WS";;;
22;"JP12";"PinHeader_1x02_P2.54mm_Vertical";1;"4WS";;;
23;"JP11";"PinHeader_1x02_P2.54mm_Vertical";1;"3WS";;;
24;"JP10";"PinHeader_1x02_P2.54mm_Vertical";1;"2WS";;;
25;"JP9";"PinHeader_1x02_P2.54mm_Vertical";1;"1WS";;;
26;"JP8";"PinHeader_1x02_P2.54mm_Vertical";1;"0WS";;;
27;"JP7";"PinHeader_1x02_P2.54mm_Vertical";1;"SLOWEST";;;
28;"JP6";"PinHeader_1x02_P2.54mm_Vertical";1;"SLOW";;;
29;"JP5";"PinHeader_1x02_P2.54mm_Vertical";1;"FAST";;;
30;"TP3,TP2,TP1";"PinHeader_1x08_P2.54mm_Vertical";3;"Conn_01x08_Male";;;
31;"R82,R81,R26,R25,R24,R32,R31,R15,R14,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1";"R-0207_10";20;"4K7";;;
32;"R80,R79,R78,R77,R76,R75,R74,R27";"R-0207_10";8;"2K2";;;
33;"R33";"R-0207_10";1;"18K";;;
34;"Q1";"TO-92_HandSolder";1;"2N3904";;;
35;"J16,J15";"PinHeader_2x04_P2.54mm_Vertical";2;"Conn_02x04_Counter_Clockwise";;;
36;"J14";"PinSocket_2x06_P2.54mm_Horizontal";1;"PMOD_BOTTOM";;;
37;"J13";"PinSocket_2x06_P2.54mm_Horizontal";1;"PMOD_TOP";;;
38;"J12,J2,J1";"PinHeader_1x06_P2.54mm_Vertical";3;"Conn_01x06_Male";;;
39;"J11";"PinSocket_1x24_P2.54mm_Vertical";1;"Upduino_RHS";;;
40;"J10";"PinSocket_1x24_P2.54mm_Vertical";1;"Upduino_LHS";;;
41;"IC28";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS148";;;
42;"IC16";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS74";;;
43;"C52";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
44;"IC13";"DIP-16_W7.62mm_Socket_LongPads";1;"74HCT174";;;
45;"Y1";"HC49_S";1;"3.6864MHz";;;
46;"X2";"Oscillator_DIP-8";1;"8MHz";;;
47;"S1";"B3F-10XX";1;"10-XX";;;
48;"R30,R29";"R-0207_10";2;"330R";;;
49;"R28";"R-0207_10";1;"270R";;;
50;"R23,R22,R21,R20,R19,R18,R17,R16";"R-0207_10";8;"1K";;;
51;"R13,R12";"R-0207_10";2;"1K2";;;
52;"LED2";"LED5MM";1;"RED";;;
53;"LED1";"LED5MM";1;"GREEN";;;
54;"J5";"pin-1X02";1;"POWER";;;
55;"J4";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
56;"J9,J3";"PinHeader_2x08_P2.54mm_Vertical";2;"Conn_02x08_Odd_Even";;;
57;"J8,J7,J6";"PinHeader_2x16_P2.54mm_Vertical";3;"Conn_02x16_Odd_Even";;;
58;"IC15";"DIP-8_W7.62mm_LongPads";1;"555N";;;
59;"IC1";"MC68030RC";1;"MC68030RC_PGA";;;
60;"D8,D7,D6,D5,D4,D3,D2,D1";"D_DO-201AE_P15.24mm_Horizontal";8;"1.5KE33A";;;
61;"C20";"C-Electolytic-2,5-5";1;"100uF";;;
62;"C11,C10";"C_Rect_L4.0mm_W2.5mm_P2.50mm";2;"7pF";;;
63;"X1";"Oscillator_DIP-8";1;"33MHz";;;
64;"IC8";"PLCC-44_THT-Socket";1;"XR68C681CJTR-F-XR68C681";;;
65;"U4,U3,U2,U1";"DIP-32_W15.24mm_Socket_LongPads";4;"AS6C4008-55TIN";;;
66;"U8,U7,U6,U5";"DIP-32_W15.24mm_Socket_LongPads";4;"SST39SF040";;;
